Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-12-10 11:00:00+00:00,4094.138427734375,4168.38525390625,4088.45849609375,4159.98876953125,0,0.0,0.0
2021-12-10 12:00:00+00:00,4158.92919921875,4194.66650390625,4156.1865234375,4171.74951171875,371617792,0.0,0.0
2021-12-10 13:00:00+00:00,4171.66796875,4227.11181640625,4141.00244140625,4204.396484375,1012555776,0.0,0.0
2021-12-10 14:00:00+00:00,4205.8232421875,4212.5869140625,4028.30126953125,4028.30126953125,0,0.0,0.0
2021-12-10 15:00:00+00:00,4037.234130859375,4086.0673828125,3998.373779296875,4015.867919921875,717191168,0.0,0.0
2021-12-10 16:00:00+00:00,4021.0048828125,4022.802978515625,3960.471435546875,3989.71875,1219723264,0.0,0.0
2021-12-10 17:00:00+00:00,3981.740234375,3988.297607421875,3936.6162109375,3970.88720703125,641822720,0.0,0.0
2021-12-10 18:00:00+00:00,3970.496337890625,4014.729736328125,3967.6416015625,3983.445556640625,0,0.0,0.0
2021-12-10 19:00:00+00:00,3989.466796875,4033.42041015625,3975.746337890625,4020.984375,249643008,0.0,0.0
2021-12-10 20:00:00+00:00,4022.2548828125,4038.8291015625,4017.62060546875,4038.8291015625,0,0.0,0.0
2021-12-10 21:00:00+00:00,4048.041259765625,4051.817626953125,3998.777099609375,3999.88232421875,0,0.0,0.0
2021-12-10 22:00:00+00:00,3998.746826171875,4005.17236328125,3963.635498046875,3967.98291015625,0,0.0,0.0
2021-12-10 23:00:00+00:00,3962.119873046875,3974.041259765625,3897.767578125,3916.3681640625,0,0.0,0.0
2021-12-11 00:00:00+00:00,3909.667724609375,3980.91259765625,3846.054443359375,3943.985595703125,652879872,0.0,0.0
2021-12-11 01:00:00+00:00,3944.88427734375,4003.279052734375,3937.244873046875,3976.870849609375,0,0.0,0.0
2021-12-11 02:00:00+00:00,3973.45458984375,3996.108642578125,3960.68994140625,3991.857421875,0,0.0,0.0
2021-12-11 03:00:00+00:00,3993.811279296875,4033.421875,3990.345947265625,4013.79541015625,88961024,0.0,0.0
2021-12-11 04:00:00+00:00,4011.780029296875,4046.850341796875,4010.50244140625,4036.9404296875,0,0.0,0.0
2021-12-11 05:00:00+00:00,4033.30859375,4047.103515625,4020.7060546875,4031.910888671875,0,0.0,0.0
2021-12-11 06:00:00+00:00,4034.728271484375,4063.68017578125,3966.908447265625,3966.908447265625,0,0.0,0.0
2021-12-11 07:00:00+00:00,3968.123779296875,3990.2783203125,3942.872314453125,3982.476318359375,0,0.0,0.0
2021-12-11 08:00:00+00:00,3982.16015625,4080.918701171875,3972.096435546875,4014.099853515625,530599936,0.0,0.0
2021-12-11 09:00:00+00:00,4013.61376953125,4021.3203125,3985.369384765625,4020.756591796875,0,0.0,0.0
2021-12-11 10:00:00+00:00,4016.70556640625,4037.94482421875,4006.412841796875,4021.722412109375,0,0.0,0.0
2021-12-11 11:00:00+00:00,4020.687744140625,4035.117919921875,4011.241943359375,4020.21630859375,0,0.0,0.0
2021-12-11 12:00:00+00:00,4015.60595703125,4049.890625,4012.566650390625,4044.31787109375,0,0.0,0.0
2021-12-11 13:00:00+00:00,4043.789794921875,4061.214599609375,4004.892578125,4007.966796875,0,0.0,0.0
2021-12-11 14:00:00+00:00,4010.73193359375,4036.82470703125,3996.84765625,4028.506103515625,0,0.0,0.0
2021-12-11 15:00:00+00:00,4032.911376953125,4052.226318359375,4029.89404296875,4049.909912109375,0,0.0,0.0
2021-12-11 16:00:00+00:00,4059.8955078125,4095.6484375,4054.542724609375,4081.026123046875,0,0.0,0.0
2021-12-11 17:00:00+00:00,4080.758056640625,4080.758056640625,4042.5458984375,4049.84521484375,0,0.0,0.0
2021-12-11 18:00:00+00:00,4051.1611328125,4056.590087890625,4026.676513671875,4037.7890625,0,0.0,0.0
2021-12-11 19:00:00+00:00,4037.9404296875,4048.608154296875,4004.63330078125,4006.971435546875,0,0.0,0.0
2021-12-11 20:00:00+00:00,4002.43603515625,4038.2080078125,4002.43603515625,4019.256591796875,0,0.0,0.0
2021-12-11 21:00:00+00:00,4016.51611328125,4025.7041015625,3988.86865234375,4023.17626953125,0,0.0,0.0
2021-12-11 22:00:00+00:00,4029.646240234375,4064.251953125,4011.03759765625,4027.694091796875,0,0.0,0.0
2021-12-11 23:00:00+00:00,4028.5966796875,4095.0380859375,4020.74951171875,4091.066162109375,0,0.0,0.0
2021-12-12 00:00:00+00:00,4084.811279296875,4093.4326171875,4053.966552734375,4060.719482421875,0,0.0,0.0
2021-12-12 01:00:00+00:00,4058.76318359375,4073.730224609375,4036.41552734375,4041.077392578125,0,0.0,0.0
2021-12-12 02:00:00+00:00,4036.847900390625,4055.939453125,4032.317138671875,4036.75439453125,0,0.0,0.0
2021-12-12 03:00:00+00:00,4036.250244140625,4055.687255859375,4034.794921875,4047.97021484375,0,0.0,0.0
2021-12-12 04:00:00+00:00,4044.34228515625,4047.10107421875,4015.565673828125,4023.3701171875,0,0.0,0.0
2021-12-12 05:00:00+00:00,4017.197509765625,4049.906005859375,4017.197509765625,4038.00439453125,0,0.0,0.0
2021-12-12 06:00:00+00:00,4038.267822265625,4060.96484375,4038.267822265625,4060.307373046875,0,0.0,0.0
2021-12-12 07:00:00+00:00,4057.163330078125,4063.888427734375,4047.530029296875,4057.52880859375,0,0.0,0.0
2021-12-12 08:00:00+00:00,4057.298095703125,4059.87646484375,4005.604736328125,4014.869384765625,0,0.0,0.0
2021-12-12 09:00:00+00:00,4012.21337890625,4026.4521484375,4000.282470703125,4005.0244140625,0,0.0,0.0
2021-12-12 10:00:00+00:00,4004.62744140625,4016.0634765625,3993.055908203125,4008.48388671875,142552064,0.0,0.0
2021-12-12 11:00:00+00:00,4014.7001953125,4053.561767578125,4009.7490234375,4035.296142578125,0,0.0,0.0
2021-12-12 12:00:00+00:00,4039.234375,4057.280029296875,4029.0966796875,4037.8984375,3454976,0.0,0.0
2021-12-12 13:00:00+00:00,4038.20751953125,4053.1279296875,4029.843994140625,4048.26806640625,0,0.0,0.0
