"Date(UTC)","BurntFees"
"08/06/2021","4106.95595424633"
"08/07/2021","4218.14736692088"
"08/08/2021","4191.26648675989"
"08/09/2021","4247.41070361458"
"08/10/2021","5313.68392612979"
"08/11/2021","5226.85600756341"
"08/12/2021","4953.00140222346"
"08/13/2021","4750.44292600992"
"08/14/2021","4220.70039227873"
"08/15/2021","5277.1569057552"
"08/16/2021","4769.67697173914"
"08/17/2021","4334.17847763403"
"08/18/2021","3869.73628581714"
"08/19/2021","3561.43695466179"
"08/20/2021","3483.16871278199"
"08/21/2021","3063.23750678255"
"08/22/2021","3097.3291787829"
"08/23/2021","5387.56642594531"
"08/24/2021","7191.72326409921"
"08/25/2021","8404.37245306414"
"08/26/2021","8288.06053773712"
"08/27/2021","11127.5582983782"
"08/28/2021","7740.4993566438"
"08/29/2021","8345.45113343675"
"08/30/2021","10062.3785711281"
"08/31/2021","10932.8355030513"
"09/01/2021","11458.1016495575"
"09/02/2021","10128.1126073116"
"09/03/2021","13838.3716742023"
"09/04/2021","10657.9786267406"
"09/05/2021","9929.14816138085"
"09/06/2021","10498.6298078964"
"09/07/2021","14084.9583025491"
"09/08/2021","14253.6153473865"
"09/09/2021","13276.6500248456"
"09/10/2021","8663.28810989341"
"09/11/2021","5824.10481349359"
"09/12/2021","5758.33412400412"
"09/13/2021","6917.08869841054"
"09/14/2021","6581.85812551478"
"09/15/2021","6232.75199881137"
"09/16/2021","7725.72407943162"
"09/17/2021","6899.65906789454"
"09/18/2021","4928.89966983039"
"09/19/2021","4963.51324964271"
"09/20/2021","7893.91584851507"
"09/21/2021","9169.95933626696"
"09/22/2021","6180.87401008354"
"09/23/2021","6602.10749419754"
"09/24/2021","6572.0772153633"
"09/25/2021","4322.25397473256"
"09/26/2021","5921.79880026617"
"09/27/2021","7659.04444511991"
"09/28/2021","7975.3700282459"
"09/29/2021","7467.09288306708"
"09/30/2021","10239.9703658572"
"10/01/2021","7985.60145876527"
"10/02/2021","5560.12061529661"
"10/03/2021","5514.29177191957"
"10/04/2021","9187.5908479166"
"10/05/2021","11446.7258126676"
"10/06/2021","13316.9770211751"
"10/07/2021","12666.7523731093"
"10/08/2021","11520.3306221912"
"10/09/2021","7199.01772980971"
"10/10/2021","7313.23306804255"
"10/11/2021","9777.61075442704"
"10/12/2021","8018.62722537903"
"10/13/2021","8769.78143966772"
"10/14/2021","11896.2705740871"
"10/15/2021","11737.0959226036"
"10/16/2021","7808.83150468389"
"10/17/2021","6817.28563623825"
"10/18/2021","8521.68446982201"
"10/19/2021","6663.25296816043"
"10/20/2021","7183.21940231415"
"10/21/2021","8601.27377790024"
"10/22/2021","7878.4139550399"
"10/23/2021","5839.5480603871"
"10/24/2021","6562.80766265935"
"10/25/2021","8851.0525173061"
"10/26/2021","11259.1658703475"
"10/27/2021","14818.4722306345"
"10/28/2021","16852.1345278994"
"10/29/2021","15619.8800828549"
"10/30/2021","14342.94176889"
"10/31/2021","13224.9216950569"
"11/01/2021","14322.5086418005"
"11/02/2021","15593.5959710622"
"11/03/2021","14486.856468509"
"11/04/2021","12753.0300802226"
"11/05/2021","12057.8836350972"
"11/06/2021","10204.0793755164"
"11/07/2021","8936.69021290644"
"11/08/2021","11077.8720396055"
"11/09/2021","15668.4742245736"
"11/10/2021","15035.4038341869"
"11/11/2021","14284.4278309748"
"11/12/2021","13429.5795314954"
"11/13/2021","11754.553726169"
"11/14/2021","10121.6310203907"
"11/15/2021","13597.6701066699"
"11/16/2021","12754.5309591019"
"11/17/2021","12089.2649642579"
"11/18/2021","12838.058786257"
"11/19/2021","10821.5882284425"
"11/20/2021","9344.91294353307"
"11/21/2021","9480.81343986284"
"11/22/2021","13366.2120817305"
"11/23/2021","12014.8318145172"
"11/24/2021","11475.7201576533"
"11/25/2021","10930.9650482267"
"11/26/2021","9815.46346039418"
"11/27/2021","10008.1956154829"
"11/28/2021","10125.9221904228"
"11/29/2021","10807.0881937992"
"11/30/2021","12652.2468053096"
"12/01/2021","12274.733752634"
"12/02/2021","10064.1213502605"
"12/03/2021","9626.24377604282"
"12/04/2021","12500.0593267879"
"12/05/2021","8951.65661948683"
"12/06/2021","9425.66813742586"
"12/07/2021","8306.61128664254"
"12/08/2021","7039.02227419652"
"12/09/2021","7357.31770068092"
"12/10/2021","8042.48579373189"
"12/11/2021","6850.02352677851"
"12/12/2021","5735.01491976058"
"12/13/2021","7383.32952972059"
"12/14/2021","6857.58971334241"
"12/15/2021","8049.72774653453"
"12/16/2021","9419.78429773755"
"12/17/2021","7978.69279285433"
"12/18/2021","6018.25996994841"
"12/19/2021","4913.76911401977"
"12/20/2021","6098.79085139165"
"12/21/2021","6118.05419672422"
"12/22/2021","7011.28578750394"
"12/23/2021","7189.33556640621"
"12/24/2021","6322.01403657028"
"12/25/2021","6471.32433628197"
"12/26/2021","5084.95583347285"
"12/27/2021","7153.14596164895"
"12/28/2021","9287.19495283526"
"12/29/2021","11384.0990686265"
"12/30/2021","9902.37450828031"
"12/31/2021","8434.91559226787"
"01/01/2022","7426.47377530552"
"01/02/2022","9389.07592659808"
"01/03/2022","9638.86333007134"
"01/04/2022","11997.5418367001"
"01/05/2022","13190.6988491886"
"01/06/2022","12227.9348767577"
"01/07/2022","13469.0156759533"
"01/08/2022","10776.1038037233"
"01/09/2022","14080.0941970369"
"01/10/2022","19424.8878426464"
"01/11/2022","17058.4666674199"
"01/12/2022","16935.590507992"
"01/13/2022","15304.9204736154"
"01/14/2022","17198.8782008127"
"01/15/2022","12022.9755611449"
"01/16/2022","12157.0357275111"
"01/17/2022","12404.7117477845"
"01/18/2022","10865.9563639958"
"01/19/2022","11284.3156642916"
"01/20/2022","12870.1700870848"
"01/21/2022","16470.4429755047"
"01/22/2022","14734.7655240972"
"01/23/2022","11336.7332311287"
"01/24/2022","12398.6422210269"
"01/25/2022","12401.796156233"
"01/26/2022","12756.2805309574"
"01/27/2022","14112.5940165685"
"01/28/2022","12665.9457878662"
"01/29/2022","10375.4008758945"
"01/30/2022","10187.7507294933"
"01/31/2022","10897.4745355775"
"02/01/2022","13858.5406091659"
"02/02/2022","13398.036130897"
"02/03/2022","10927.9415436004"
"02/04/2022","9793.39729841365"
"02/05/2022","6955.33455524739"
"02/06/2022","6743.32788155503"
"02/07/2022","10406.2586304012"
"02/08/2022","8081.09276654402"
"02/09/2022","8427.98430002731"
"02/10/2022","8280.33451999806"
"02/11/2022","6688.48829011865"
"02/12/2022","5916.47322204038"
"02/13/2022","5022.34458997494"
"02/14/2022","5423.66030874924"
"02/15/2022","5931.12805965348"
"02/16/2022","7079.31890153633"
"02/17/2022","6829.78118441164"
"02/18/2022","8861.61351967821"
"02/19/2022","5908.18153104465"
"02/20/2022","5994.7233185409"
"02/21/2022","8302.10872229666"
"02/22/2022","7879.24766549876"
"02/23/2022","7469.66045345862"
"02/24/2022","7981.62858316137"
"02/25/2022","5266.99813789252"
"02/26/2022","4138.32716764897"
"02/27/2022","3919.15767673456"
